"TIME","GEO","GEO_LABEL","UNIT","Value"
"2014","EL512","Xanthi","Million euro","1,097.83"
"2014","EL513","Rodopi","Million euro","1,099.61"
"2014","EL514","Drama","Million euro","1,036.04"
"2014","EL515","Thasos, Kavala","Million euro","1,849.36"
"2014","EL52","Kentriki Makedonia","Million euro","23,771.4"
"2014","EL521","Imathia","Million euro","1,585.08"
"2014","EL522","Thessaloniki","Million euro","15,118.94"
"2014","EL523","Kilkis","Million euro","959.06"
"2014","EL524","Pella","Million euro","1,619.16"
"2014","EL525","Pieria","Million euro","1,407.21"
"2014","EL526","Serres","Million euro","1,642.7"
"2014","EL527","Chalkidiki","Million euro","1,439.25"
"2014","EL53","Dytiki Makedonia","Million euro","4,530.01"
"2014","EL531","Grevena, Kozani","Million euro","3,026.27"
"2014","EL532","Kastoria","Million euro","529.97"
"2014","EL533","Florina","Million euro","973.78"
"2014","EL54","Ipeiros","Million euro","3,955.23"
"2014","EL541","Arta, Preveza","Million euro","1,429.74"
"2014","EL542","Thesprotia","Million euro","558.49"
"2014","EL543","Ioannina","Million euro","1,967"
"2014","EL6","Kentriki Ellada","Million euro","36,099.4"
"2014","EL61","Thessalia","Million euro","9,114.24"
"2014","EL611","Karditsa, Trikala","Million euro","2,640.34"
"2014","EL612","Larisa","Million euro","3,929.31"
"2014","EL613","Magnisia","Million euro","2,544.58"
"2014","EL62","Ionia Nisia","Million euro","3,111.77"
"2014","EL621","Zakynthos","Million euro","696.09"
"2014","EL622","Kerkyra","Million euro","1,537.55"
"2014","EL623","Ithaki, Kefallinia","Million euro","580.84"
"2014","EL624","Lefkada","Million euro","297.29"
"2014","EL63","Dytiki Ellada","Million euro","8,195.7"
"2014","EL631","Aitoloakarnania","Million euro","2,431.2"
"2014","EL632","Achaia","Million euro","4,078.17"
"2014","EL633","Ileia","Million euro","1,686.32"
"2014","EL64","Sterea Ellada","Million euro","7,911.69"
"2014","EL641","Voiotia","Million euro","2,330.6"
"2014","EL642","Evvoia","Million euro","2,777.59"
"2014","EL643","Evrytania","Million euro","194.03"
"2014","EL644","Fthiotida","Million euro","2,167.35"
"2014","EL645","Fokida","Million euro","442.13"
"2014","EL65","Peloponnisos","Million euro","7,766.01"
"2014","EL651","Argolida, Arkadia","Million euro","2,805.05"
"2014","EL652","Korinthia","Million euro","1,885.49"
"2014","EL653","Lakonia, Messinia","Million euro","3,075.47"
"2014","EL3","Attiki","Million euro","86,047.08"
"2014","EL30","Attiki","Million euro","86,047.08"
"2014","EL301","Voreios Tomeas Athinon","Million euro","15,165.46"
"2014","EL302","Dytikos Tomeas Athinon","Million euro","5,515.8"
"2014","EL303","Kentrikos Tomeas Athinon","Million euro","30,848.18"
"2014","EL304","Notios Tomeas Athinon","Million euro","9,937.53"
"2014","EL305","Anatoliki Attiki","Million euro","10,742.7"
"2014","EL306","Dytiki Attiki","Million euro","4,209.69"
"2014","EL307","Peiraias, Nisoi","Million euro","9,627.72"
"2014","EL4","Nisia Aigaiou, Kriti","Million euro","17,375.62"
"2014","EL41","Voreio Aigaio","Million euro","2,552.55"
"2014","EL411","Lesvos, Limnos","Million euro","1,344.42"
"2014","EL412","Ikaria, Samos","Million euro","546.92"
"2014","EL413","Chios","Million euro","661.21"
